,no_1,tweet_id_1,waktu_1,tweet_1,keyword_1,buzzer_1,indicator_1,phrase_1
1,4983,1933041453875564996,12/06/2025 12.59,"Program makan bergizi gratis tidak hanya fokus pada peningkatan gizi namun jga membuka banyak peluang kerja baru, Selain itu memberikan kesempatan bagi UMKM terlibat dlm penyediaan bahan makanan bergizi.
 Lanjutkan MBG
 #LanjutkanMBGuntukIndonesiaEmas
 . 
 Rolex Gacoan Jepang BCIS",makanan bergizi gratis,1,1,#LanjutkanMBGuntukIndonesiaEmas
2,11487,1926626156456902953,25/05/2025 20.07,"Presiden 
 @prabowo
  bicara soal regulasi rumit dan pejabat tua ribet
 
 #LanjutkanMBGUntukIndonesiaEmas
 MBG bertujuan mengatasi stunting dan meningkatkan kualitas gizi anak Indonesia 
 Lanjutkan MBG Keren 
 
 #mbg #sekolah #anak #makanbergizigratis #prabowo #gibran #jokowi",#mbg,1,1,#LanjutkanMBGUntukIndonesiaEmas
3,13169,1918900302998307063,04/05/2025 12:27:00,"Bersama kita dukung untuk Lanjutkan MBG, Program makan bergizi gratis memiliki Stndar Operasional Prosedur (SOP) yg ktat untk memastikn kualitas & keamanan makanan terbukti 25 juta makanan tlah dibagikn dan aman. 
#LanjutkanMBGIndonesiaGemilang 
. 
MyDay Jambak Hobi Minggu Melani",makanan bergizi gratis,1,1,#LanjutkanMBGIndonesiaGemilang
4,13244,1917474342864302212,30/04/2025 14:01:00,"Lanjutkan MBG Program pemerintah untuk mengatasi stunting dengan menyediakan makanan bergizi bagi anak - anak, Selain itu program makam bergizi gratis juga bertujuan untuk meningkatkan status gizi dan memperkuat ekonomi lokal.
#LanjutkanMBG
. 
Baila Dear Friend WILLIAMEST X COACH",makanan bergizi gratis,1,3,Lanjutkan MBG
5,13245,1917467975923425456,30/04/2025 13:36:00,"Program makan bergizi gratis tidak hanya memberikan makanan kepada anak sekolah namun jga sbagai pnggerak UMKM Lokal dlm pnyediaan rntai pasok mkanan bergizi memastikn ketersediaan makanan yg segar dan berkualitas. Bersama kita dukung untuk Lanjutkan MBG. #LanjutkanMBG
. 
X COACH",makanan bergizi gratis,1,3,Bersama kita dukung untuk Lanjutkan MBG
6,20904,1917463359810843030,30/04/2025 13:17:00,"Program makan siang gratis dapat membantu mengurangi kemiskinan dengan menyediakan kebutuhan dasar bagi anak2 dari keluarga yg kurang mampu Lanjutkan MBG krn anak akan mendapatkan kesehatan yang lebih baik dan mereka dpt belajar dan berkembang dengan lebih optimal
#LanjutkanMBG",makan siang gratis,1,1,#LanjutkanMBG
7,58011,1918996279960477796,04/05/2025 18:49:00,"Terus Lanjutkan MBG karena MBG terbukti membawa manfaat baik bagi anak2,dengan adanya MBG ketidakhadiran siswa jadi menurun

Kini BGN terus melakukan Evaluasi sistem MBG agar kejadian serupa tidak terulang kembali
#LanjutkanMBGIndonesiaGemilang

Dada #NekkoxGFPetExpo Alwi Mecima",keracunan mbg,1,3,Terus Lanjutkan MBG
8,58012,1918993441519763569,04/05/2025 18:37:00,"Dari segelintir kasus keracunan yg terjadi menunjukkan bhw Program MBG secara umum efektif dan aman. MBG tetap mjd harapan besar bagi jutaan anak Indonesia. Program ini patut trs didukung dan ditingkatkan utk memberikan manfaat yg lebih luas.

#LanjutkanMBGIndonesiaGemilang

Dada",keracunan mbg,1,1,#LanjutkanMBGIndonesiaGemilang
9,58014,1918970832908431439,04/05/2025 17:07:00,"Satu atau dua insiden tdk dpt menggambarkan kegagalan MBG keberhasilan program ini dapat dilihat dari dampak positif yang dirasakan oleh 25 juta anak yg telah mendapatkan manfaat, Lanjutkan MBG krn ada harapan jutaan anak Indonesia utk tumbuh sehat

#LanjutkanMBGIndonesiaGemilang",keracunan mbg,1,1,#LanjutkanMBGIndonesiaGemilang
10,58041,1917532709746008179,30/04/2025 17:53:00,"Lanjutkan MBG karena program ini sangat banyak manfaat nya, selain membantu anak anak agar tumbuh dengan sehat, program ini juga membantu para petani dan peternak lokal
#LanjutkanMBG
#WilliamEst",keracunan mbg,1,3,Lanjutkan MBG karena program ini sangat banyak manfaat
