,no_5,tweet_id_5,waktu_5,tweet_5,keyword_5,buzzer_5,indicator_5,phrase_5
1,68166,1975948493371146389,08/10/2025 22.36,"ini perpustakaan SD lagi, SD seluruh Indonesia, perpustakaannya pada rusak, terus pmrenta lo malah ngasih MBG yg bikin keracunan makanan bjir. Mana pemberitaannya yang baru? Kok udah sepi?!",keracunan mbg,0,,
2,13164,1918971274803462523,04/05/2025 17:09:00,"Kebijakan MBG (Makan Beracun Gratis) untuk siswa adalah kebijakan buang duit negara. Karena anak2 sekolah di SD, SMP, SMA adalah anak2 yg mayoritas ortunya mampu siapkan makanan bergizi. Harusnya pemerintah bekerja taktis agar daya beli rakyat meningkat.",makanan bergizi gratis,0,,
3,13177,1918679321180594605,03/05/2025 21:49:00,"Kalau dah gini ceritanya. MBG bukan lagi singkatan dari Makanan Bergizi Gratis tapi singkatan dari Makanan Beracun Gratis, bukannya ngasih gizi malah ngasih racun ke anak-anak.",makanan bergizi gratis,0,,
4,65,1890422946205782315,14/02/2025 22:28:00,"Hahaha bungul dah, efisiensi buat makan siang gratis bukannya pendidikan gratis. Mbg akan habiskan 800 miliar sehari. Bungul.",makan siang gratis,0,,
5,77,1890418203760767251,14/02/2025 22:09:00,"Dikasih makan siang gratis tapi anggaran pendidikanya di pangkas ,kira kira yang buat kebijakan pinter atau bodoh ya.
 
 https://cnbcindonesia.com/news/20250213130841-4-610364/daftar-kementerian-lembaga-yang-sudah-tuntaskan-pemangkasan-anggaran…",makan siang gratis,0,,
6,81,1890414361375551776,14/02/2025 21:54:00,orang gila mana yg udh ditawarin kemudahan belajar sampe perguran tinggi buat support masa depan dan memajukan generasi muda negara ini dan malah pilih makan siang gratis 👏👏👏,makan siang gratis,0,,
7,84,1890412763127701807,14/02/2025 21:48:00,Batal kan makan siang gratis!!!!!!!,makan siang gratis,0,,
8,85,1890412426769641964,14/02/2025 21:46:00,Dikasih kemudahan akses untuk pendidikan malah milih makan siang gratis,makan siang gratis,0,,
9,89,1890409944488309012,14/02/2025 21:37:00,"Minang emng SDM nya tinggi,ga gampang terolok2 program ini itu,padhal itu ladang banget buat para koruptor,kan bisa yang lebih baik buat pendidikan,di Indonesia yang lulusan sarjana itu masih dikit loh pak,makan siang gratis sebikin birahi itu kah?",makan siang gratis,0,,
10,91,1890408065087803437,14/02/2025 21:29:00,"efisiensi anggaran katanya katanya,buat makan siang gratis katanya katanya wo wo prawowo🙃",makan siang gratis,0,,
11,97,1890404192814043329,14/02/2025 21:14:00,Gak yg ada namanya “makan siang gratis”. Tuh byk budget cutting kan. Dibt take anything from politicians for fckn granted,makan siang gratis,0,,
12,102,1890399138178609500,14/02/2025 20:54:00,"Kalo gini mending anak2 bawa bekal dari rumah aja, gosah makan siang gratis.
 Mana kadang anak kecil juga rewel kalo GK cocok menunya.🥲",makan siang gratis,0,,
13,105,1890397777068183980,14/02/2025 20:48:00,Soalnya sekarang kemakan makan siang gratis kan dananya.,makan siang gratis,0,,
14,106,1890397749998158331,14/02/2025 20:48:00,"stop saying ""siapapun presidennya bakalan kesusahan karena apbn tekor"" CAPRES LAIN GA ADA OMON2 MAKAN SIANG GRATIS ANJGGGGGGGGG, yg bikin negara miskin tambah miskin ya udh gapunya duit masih sok2an ngasih gratis, udh kabinet gembrot kang ngibul kang korup",makan siang gratis,0,,
15,108,1890395697456759040,14/02/2025 20:40:00,Lebih sehat makanan marmut daripada makan siang gratis,makan siang gratis,0,,
16,111,1890393783591661841,14/02/2025 20:32:00,"bayangin aja kalo rakyatnya bener2 dungu. apa bakal koar2 ribut di sosmed kaya kemarin?🥱 keliatan kan kenapa proker utamanya, makan siang gratis🙄",makan siang gratis,0,,
17,114,1890391629552386186,14/02/2025 20:24:00,"Gw masih gak paham kenapa prabowo dan jajarannya kepikiran milih program makan siang gratis🤣 mungkin demi elektabilitas pilpres, rakyat jadi fokus dengan ""GRATIS"" dan terbukti banyak yg milih juga karna itu",makan siang gratis,0,,
